"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GABRE",505.155934386806,6.30152837470453,0.322043866388034,19.567298223627,2.93852277805478e-85,2.72360990760523e-82
"FBN1",1122.44609302161,2.32797154708891,0.119044480215282,19.5554765989902,3.70526801353998e-85,3.28496174191712e-82
"STC2",3952.97676307784,-1.64611902386988,0.0842678470045822,-19.534366693626,5.60366882106481e-85,4.76101712209719e-82
"RPL14",13743.366455497,-1.19764338213091,0.0614919800163769,-19.4764159783429,1.74044949839652e-84,1.41958022887213e-81
"SPEN",12783.5220346252,1.12477025321517,0.0582785385658579,19.2999049203013,5.38081232264448e-83,4.22000554119398e-80
"IP6K2",2144.03415967949,-1.87498202703303,0.0972880440618647,-19.2724814761487,9.14445395748634e-83,6.90609483878163e-80
"RPL15",23339.4260085333,-1.19184187619031,0.0623586546110304,-19.1126938774508,1.97979996501493e-81,1.44178932452212e-78
"RPL10",23966.4977691838,-1.16688534010435,0.061723605968851,-18.9050092227798,1.03721426569809e-79,7.29304692822409e-77
"PRRC2B",5139.60021363807,-1.55296507394736,0.0823526921260852,-18.857490069295,2.55043094391912e-79,1.73352791258183e-76
"RPSA",27710.1663272895,-1.21689969060704,0.0647153355967888,-18.8038844175818,7.01832432666159e-79,4.61647262403085e-76
"KIF5B",5448.15995234961,1.40047701460574,0.0754025361644105,18.5733409755886,5.28122427243494e-77,3.36529512935065e-74
"CTSZ",405.175843538228,4.06601964830733,0.220042292045529,18.4783552766576,3.08441261039749e-76,1.90588659207925e-73
"RPL13A",29208.8777039643,-1.22274195668581,0.0677864842214686,-18.0381379965206,9.77835072804103e-73,5.86442204986719e-70
"HPRT1",4314.91215745365,-1.4233213189209,0.0798865170733972,-17.8167902552717,5.23556976271911e-71,3.05024294376015e-68
"UNCX",482.520320393252,-3.32509554724689,0.186866638316585,-17.7939496166972,7.87297904284063e-71,4.45938654618231e-68
"MTOR",3923.41917009691,1.37062359286408,0.0773327977857284,17.7237036821268,2.75183417901823e-70,1.51655812822597e-67
"LCP1",1560.71147388792,-6.54478605970198,0.370917530244468,-17.6448550581807,1.11459854107371e-69,5.98099443448265e-67
"H1-0",6765.05535973411,-1.34682144206776,0.0765087410229432,-17.6034976404054,2.3157103107536e-69,1.18720227464393e-66
"SSU72",2797.4145730259,1.46677622355391,0.0833245188567017,17.6031766361161,2.3288750422126e-69,1.18720227464393e-66
"C19orf48",3270.29461926294,-1.39228775006613,0.0794498904445021,-17.5240990550978,9.38158717014105e-69,4.66585229234991e-66
"ARGLU1",2756.64401868757,-1.76395033365819,0.101778673723691,-17.3312371749603,2.73383787546486e-67,1.32727828853819e-64
"IGFBPL1",822.32306903096,2.45737171048266,0.143443545001051,17.1312812330778,8.67236478538449e-66,4.11251605439012e-63
"ENO2",1507.53015657649,-1.75581512476344,0.102616920882007,-17.1103859838314,1.24173894228336e-65,5.75461335729545e-63
"SLIT2",16080.0397385765,1.11267162922727,0.0650629969224058,17.1014506226057,1.44755970031081e-65,6.55937552200841e-63
"LTBP4",2562.95347994688,-1.41410182504536,0.0829899070814019,-17.0394434067545,4.1869727843809e-65,1.85601221839806e-62
"RPS5",11834.1355981179,-1.23705504299168,0.0726712163214784,-17.0226274666887,5.58090826660811e-65,2.42128298860438e-62
"DMKN",1780.62757708628,-1.64641374284221,0.0969283552171868,-16.9858834306339,1.04468728979986e-64,4.43796219298104e-62
"SHROOM2",429.803462271365,6.870588302398,0.406345037278431,16.9082618762001,3.91073214703893e-64,1.6274232491892e-61
"ID3",1241.04099832189,1.9001679944884,0.112722262599615,16.8570781908249,9.30779945267957e-64,3.79590677279178e-61
"RPL18",14147.4539521498,-1.12563781836311,0.0671455625497721,-16.7641430888113,4.46403624162835e-63,1.78482672554988e-60
"COL2A1",1542.73560672622,1.76425062461755,0.105421671189389,16.7351798232081,7.26374335640256e-63,2.84836520731547e-60
"PCDH7",1541.4041004512,1.74458218618768,0.104364707882523,16.7162082047069,9.98750795667405e-63,3.82066214175469e-60
"RPS16",12423.6108182326,-1.00510391910507,0.0601302897062775,-16.715434500894,1.01179812493136e-62,3.82066214175469e-60
"RPL28",10348.5791208216,-1.06004777953745,0.0634379305194677,-16.7099993782449,1.10836688464676e-62,4.10921984451494e-60
"CDYL2",501.701561321641,3.03353369107773,0.181916772892613,16.6753930538799,1.97905417080704e-62,7.20623099945115e-60
"UBE4B",2082.5698696687,1.49548468962774,0.0903563906562564,16.5509564820603,1.575791064548e-61,5.63718519249093e-59
"PYGL",4835.89675378218,-1.16386973306647,0.0718740163647597,-16.193191808843,5.63293067661848e-59,1.98036361080909e-56
"SEPHS2",3675.28857566138,1.3007223948812,0.0812552149253396,16.0078635700657,1.1261061309757e-57,3.89193730791956e-55
